104272.93201133145,65391.707582584619,6.0168838526912181,3.40778120276032,1500.0,124000.0
km,fuel,age,price
1.31097,-1,1.16882,0.07755
1.44096,-1,0.87538,0.04073
1.28039,1,1.46227,0.02857
-0.2794,-1,-0.0049,0.12571
-0.2182,-1,-0.2984,0.10816
-0.4782,-1,-0.2984,0.15020
1.46390,-1,0.58193,0.06122
1.26510,-1,1.46227,0.03428
1.76975,-1,0.58193,0.06530
-0.5852,-1,-0.5918,0.19102
-0.0653,-1,-0.2984,0.11665
0.56164,-1,0.58193,0.05714
-1.4722,-1,-1.4721,0.20808
1.08159,-1,1.46227,0.03665
-0.2555,-1,-0.8852,0.11257
0.33226,-1,0.87538,0.06816
0.20074,-1,0.87538,0.08489
-0.6311,-1,0.58193,0.09379
0.65340,-1,0.58193,0.06693
-0.0940,-1,-0.5918,0.10938
0.57693,-1,1.16882,0.06122
1.09688,-1,-0.0049,0.08163
-0.6397,-1,-0.5918,0.13461
-0.2182,-1,-0.2984,0.10122
0.98983,-1,0.87538,0.04489
-0.6770,-1,-0.5918,0.14938
1.40273,-1,0.87538,0.03387
1.00512,-1,1.16882,0.05469
0.08758,-1,0.28849,0.09224
-1.0287,-1,-1.4721,0.16734
-1.3193,-1,-1.4721,0.24
-0.7229,-1,-0.8852,0.13469
-1.3866,-1,0.58193,0.08
-0.7076,1,-0.0049,0.41959
-0.2800,-1,-0.2984,0.11828
0.63810,1,1.16882,0.08326
1.44860,-1,1.16882,0.04073
1.39202,-1,1.16882,0.04488
-0.0041,-1,-0.5918,0.12979
-1.3723,-1,-1.7656,0.16653
-0.7859,-1,-0.8852,0.12571
-1.4569,-1,-1.4721,0.22857
1.46390,-1,1.75572,0.02857
-0.8162,-1,-0.5918,0.15910
0.97913,1,1.46227,0.04489
0.54635,-1,0.58193,0.06122
0.21756,-1,0.28849,0.10204
-1.0287,1,-0.8852,0.10963
-1.4584,-1,-1.4721,0.27559
-1.4126,1,-1.4721,0.31575
-0.2947,-1,-0.2984,0.09387
0.54635,-1,0.58193,0.03265
-0.8564,-1,-1.1787,0.13387
0.25579,-1,-0.0049,0.06930
0.36284,-1,0.28849,0.07755
-0.8452,-1,-0.8852,0.15910
-0.3864,-1,-0.2984,0.12163
0.10287,-1,0.58193,0.06857
-0.0500,-1,0.87538,0.06530
1.04345,-1,0.87538,0.11012
-0.0347,-1,-0.8852,0.17551
0.40872,-1,-0.5918,0.14122
-0.7305,1,-0.5918,0.15836
0.92866,-1,0.87538,0.04489
0.23897,-1,0.28849,0.06857
-0.2870,-1,-1.1787,0.21224
1.03571,-1,0.87538,0.06326
0.27109,1,0.87538,0.05306
-0.5822,-1,-0.5918,0.11665
0.01111,-1,0.58193,0.11836
1.15040,-1,0.58193,0.07673
-1.2724,-1,-1.4721,0.20734
-0.0653,-1,-0.2984,0.09387
-1.5282,-1,-1.7656,0.18359
2.02972,-1,1.46227,0.03020
0.39343,-1,0.58193,0.05469
-1.3606,-1,-1.4721,0.20734
-0.3253,-1,-0.0049,0.10122
-0.1418,-1,-0.5918,0.11828
1.25439,-1,1.75572,0.05224
-1.3558,-1,-1.4721,0.23261
-0.2794,-1,-0.2984,0.09387
-1.5716,1,-1.7656,0.18857
-1.2461,-1,-1.1787,0.18595
-0.5241,-1,-0.5918,0.10204
1.11982,-1,1.46227,0.04481
-0.7535,-1,0.58193,0.09379
0.60752,-1,1.16882,0.04489
1.54036,1,1.75572,0.02359
0.80632,-1,1.16882,0.04489
-0.2182,-1,-0.2984,0.14530
-0.5776,-1,-0.5918,0.13285
2.22852,-1,0.87538,0.05306
1.45625,-1,0.87538,0.05918
0.69927,1,1.75572,0.05714
-1.3730,-1,-1.1787,0.23665
-1.2290,-1,-0.8852,0.16270
-1.4046,-1,-1.4721,0.19151
-1.1526,-1,-0.0049,0.12628
-1.0134,-1,-0.8852,0.17550
1.14276,-1,0.28849,0.05706
0.04170,-1,0.87538,0.05714
0.20992,-1,-0.2984,0.10857
0.94548,-1,1.46227,0.04481
0.14875,-1,0.28849,0.06530
1.54036,-1,0.87538,0.04081
-1.4569,-1,-1.7656,0.34293
1.41802,-1,-0.0049,0.05297
-0.1953,-1,0.58193,0.07755
0.57693,-1,-0.0049,0.06653
0.07228,-1,-0.2984,0.15510
-0.9981,-1,-1.1787,0.15101
-0.8896,1,-0.8852,0.26448
-1.1969,-1,-1.4721,0.23746
0.57693,-1,0.28849,0.11420
-0.7427,-1,-0.8852,0.19183
-1.2965,-1,-1.1787,0.20734
0.04170,-1,-0.2984,0.09224
1.34156,-1,1.75572,0.04161
-0.3482,-1,-0.2984,0.13061
-0.1723,-1,-0.2984,0.10204
0.54635,-1,0.28849,0.07102
-1.4747,-1,-1.4721,0.21297
1.31097,-1,1.46227,0.03591
0.97454,-1,1.16882,0.06938
-1.3779,1,-1.4721,0.21542
-1.3468,-1,-0.8852,0.18285
-0.1112,-1,0.28849,0.08163
-0.5470,-1,-0.0049,0.08563
-0.9828,1,-0.2984,0.11004
0.68398,-1,0.87538,0.05306
0.86749,-1,1.46227,0.04326
-0.3823,-1,-0.2984,0.11428
0.77574,-1,-0.2984,0.06367
0.36284,-1,0.58193,0.05706
-1.5640,-1,-1.4721,0.20808
-1.2295,-1,-1.4721,0.25379
0.85220,-1,0.58193,0.05714
0.28638,-1,1.16882,0.06530
-1.3499,1,-1.4721,0.28163
-0.4773,-1,-0.8852,0.15746
-1.1404,-1,-0.8852,0.142
-0.5011,-1,-0.2984,0.13461
-1.2982,-1,-1.4721,0.18351
-0.0592,-1,-0.0049,0.08979
-1.2896,1,-1.1787,0.22440
0.64892,-1,0.28849,0.06285
-0.5241,-1,-0.8852,0.15502
0.82161,-1,1.16882,0.04653
-0.4629,1,-0.2984,0.11020
-0.4797,-1,-0.0049,0.11828
0.39465,-1,-0.2984,0.07755
0.80632,-1,0.28849,0.04734
-1.2581,-1,-1.1787,0.18285
-0.4476,-1,-0.8852,0.11828
-0.8529,-1,-0.5918,0.10122
-0.2106,-1,-0.0049,0.07746
1.41802,-1,0.58193,0.04244
-1.0640,-1,-1.1787,0.25697
-1.3797,-1,-1.4721,0.14204
1.58624,-1,1.16882,0.01386
1.06629,-1,0.28849,0.04081
-1.0394,-1,-1.1787,0.19991
-0.9333,-1,-1.1787,0.15551
0.42401,-1,0.87538,0.09387
-0.5699,-1,-0.2984,0.10612
-0.8178,-1,-0.5918,0.09787
0.76398,-1,-0.2984,0.08971
-0.4782,-1,-0.0049,0.10195
0.79103,-1,0.58193,0.03673
1.69328,-1,1.46227,0.03265
0.91337,-1,0.87538,0.08571
0.53106,-1,-0.0049,0.11836
-0.4323,-1,-0.2984,0.16163
0.39343,-1,-0.2984,0.08155
-0.7106,-1,-0.2984,0.12244
0.24050,-1,0.87538,0.04081
0.74515,-1,0.87538,0.06122
0.76044,-1,1.16882,0.05142
-0.7817,-1,-0.8852,0.15020
-0.9974,-1,-0.8852,0.13053
-0.2457,-1,0.58193,0.08155
1.15040,-1,0.28849,0.05061
1.00512,-1,1.46227,0.04734
-0.5547,1,-0.2984,0.09297
-0.1928,-1,-0.2984,0.09787
0.28638,-1,-0.2984,0.12653
2.30498,-1,0.58193,0.02857
0.88278,-1,1.16882,0.06122
-1.5792,-1,-1.7656,0.2
0.68398,-1,-0.5918,0.09379
-0.6463,-1,-0.8852,0.11751
-0.4858,-1,-0.2984,0.10612
-0.9981,-1,-1.1787,0.13387
-0.3372,-1,-0.5918,0.11746
-0.4540,-1,-0.5918,0.16653
-0.3559,-1,-0.2984,0.14204
0.85220,-1,0.58193,0.05714
-0.1012,-1,-0.5918,0.14204
-0.4247,-1,-0.0049,0.10612
-0.5164,-1,-0.5918,0.11020
-0.6923,-1,-0.8852,0.14693
0.24050,-1,-0.2984,0.09387
0.23917,-1,0.28849,0.07746
-1.5013,-1,-1.4721,0.20816
0.17627,-1,0.58193,0.12244
1.28803,-1,1.46227,0.04489
0.50047,-1,-0.2984,0.10195
0.72374,-1,-0.0049,0.08570
0.24408,-1,-0.5918,0.11012
0.93057,-1,0.58193,0.06121
-0.2297,-1,0.58193,0.09224
-1.5943,-1,-1.7656,0.19102
-0.8681,-1,-1.1787,0.12979
1.68793,-1,1.16882,0.04073
1.03571,-1,0.58193,0.044
-0.7229,1,-0.0049,0.19918
-0.6770,-1,0.87538,0.07755
0.30167,-1,-0.5918,0.11012
1.97161,-1,1.46227,0.03665
0.36284,-1,1.16882,0.06530
0.71457,-1,0.87538,0.08408
-1.2795,-1,-1.4721,0.19583
-1.5945,-1,-1.7656,0.32464
-0.8184,-1,-1.4721,0.14612
0.71457,-1,0.28849,0.07346
-0.3734,-1,-0.5918,0.11836
0.69927,-1,0.58193,0.06204
0.10287,-1,-0.0049,0.07755
0.10287,-1,-0.8852,0.11428
0.07993,-1,0.28849,0.12644
-0.2794,-1,-0.2984,0.11755
0.11816,1,-0.2984,0.11012
0.62281,-1,0.28849,0.05714
-1.4489,-1,-1.7656,0.18767
-1.5349,1,-1.4721,0.31346
-0.3406,-1,-0.0049,0.11012
1.92267,-1,1.16882,0.02530
-1.4416,-1,-1.4721,0.21216
-0.8454,1,-0.8852,0.14277
-1.2053,-1,-1.4721,0.22440
-0.2457,-1,0.87538,0.06530
0.80632,-1,0.87538,0.05551
-1.5928,-1,-0.0049,0.13306
-0.6311,-1,-0.8852,0.14693
-0.1876,-1,-0.2984,0.12644
-0.9293,-1,-0.8852,0.11828
-0.1938,-1,0.58193,0.11591
-1.1664,-1,-1.1787,0.17387
1.52507,-1,1.46227,0.03591
-0.7076,-1,-0.5918,0.10612
-0.9981,-1,-1.4721,0.21551
-1.1424,-1,-0.8852,0.13453
0.86749,-1,0.87538,0.07346
1.15805,-1,2.04916,0.03510
-1.5945,-1,-1.7656,0.24489
2.47320,-1,1.16882,0.02848
0.51576,-1,0.58193,0.06775
-1.2766,1,-1.4721,0.17532
-0.5241,-1,-0.0049,0.11828
-0.7840,-1,-0.8852,0.17142
2.25911,-1,0.87538,0.03551
-1.0104,-1,-0.0049,0.12644
0.01111,-1,0.87538,0.07591
-0.4926,-1,-0.2984,0.13387
-0.6604,-1,-0.8852,0.18359
-1.5922,-1,-1.4721,0.19591
0.80632,1,1.75572,0.03265
0.19462,-1,-0.2984,0.09795
-1.5181,-1,-1.7656,0.17469
0.16404,-1,-0.2984,0.10203
-0.8758,1,-0.5918,0.23265
0.07777,-1,-0.0049,0.10122
0.52346,-1,0.58193,0.05959
0.08758,-1,-0.2984,0.13877
1.99913,-1,1.46227,0.03346
-0.3406,-1,0.87538,0.11020
-1.1358,-1,1.75572,0.02857
-0.4935,-1,-0.2984,0.15093
1.29568,-1,0.28849,0.06857
-0.6770,-1,-0.2984,0.13387
-0.7611,1,0.87538,0.10195
1.32779,-1,-0.8852,0.08318
0.35256,-1,0.87538,0.08563
-0.7382,-1,-0.5918,0.17551
0.74515,-1,0.87538,0.04489
-1.4906,-1,-1.7656,0.30195
-1.3667,-1,-1.4721,0.19289
1.88903,-1,1.16882,0.04489
0.65728,-1,-0.2984,0.07183
-0.9580,-1,-0.5918,0.14277
-0.2404,-1,-0.5918,0.10199
-0.5547,-1,-0.8852,0.10040
-1.3804,-1,0.87538,0.08163
-1.3116,-1,-1.1787,0.15910
